   |CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|HORINITRANSACCION|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|DESTRANSACCIONVENTANILLA|ACTV_BENEFICIARIO|TIPPER_BENEFICIARIO|FLG_FFNN_BENEFICIARIO|FLG_FFNN_SOLICITANTE|TIPBANCA_BENEFICIARIO|TIPBANCA_SOLICITANTE|MTOTRANSACCION|TIPPER_SOLICITANTE|DESBANCA_BENEFICIARIO|DESBANCA_SOLICITANTE|FECONS_BENEFICIARIO|FECONS_SOL|FLG_AN_BENEFICIARIO|FLG_AN_SOLICITANTE|FLG_REL|FLG_ROS_BEN|FLG_ROS_SOL|FLG_MTO_P25|FLG_MTO_P50|FLG_MTO_P75|FLG_MTO_P90|FECDIA2|FEC_BEN|FLG_AN|TIPPER|FLG_NUEVA_BEN|dif|dif2|FLG_NUEVA_SOL|FLG_NUEVA|FLG_BANCA|PERSONA_SOL|EMPRESA_SOL|PERSONA_BEN|EMPRESA_BEN|FLG_ROS|FLG_MTO|FLG_NOREL|MTOTRANSACCION_ES|TIPPER_BEN|TIPPER_SOL|MTO_P95|MTOTRANSACCION_ES95|N_Cluster
2446|269340.0|3309537.0|202002|22/02/2020|12:07:11|194000|410|800669000000.0|62|DepÂ¢sito Cte|5190.0|E|1|1|E|P|437430.0|P|EMPRESA                            |BANCA PERSONAL                     |28/03/1969||1|0|0|0|0|0|0|1|0|2020-02-22|1969-03-28|0|0|0|18593 days|18593.0|0|0|1|1|0|0|1|0|0|1|437430.0|1|0|437430.0|437430.0|13
300|281584.0|3968104.0|202001|28/01/2020|16:16:54|215000|1356|800655000000.0|62|DepÂ¢sito Cte|8511.0|E|1|1|E|P|325220.0|P|EMPRESA                            |BANCA PERSONAL                     |26/06/1992||0|0|0|0|0|0|1|0|0|2020-01-28|1992-06-26|0|0|0|10077 days|10077.0|0|0|1|1|0|0|1|0|0|1|325220.0|1|0|325220.0|325220.0|3
2560|71834.0|3383881.0|202005|27/05/2020|10:46:42|475000|124|800698000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|559340.0|P|EMPRESA                            |BANCA PERSONAL                     |01/04/1976||0|0|0|0|0|0|0|0|1|2020-05-27|1976-01-04|0|0|0|16215 days|16215.0|0|0|1|1|0|0|1|0|1|1|559340.0|1|0|559340.0|559340.0|11
1807|4288768.0|4288768.0|202009|03/09/2020|13:01:51|191061|205|902257000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|238000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-03-09||0|1|0|||0|0|1|1|0|1|0|0|0|1|238000.0|0|0|238000.0|238000.0|9
1162|6133673.0|4047317.0|202008|11/08/2020|13:50:23|235000|216|800733000000.0|62|DepÂ¢sito Cte|5143.0|E|1|1|P|P|320000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |04/07/2007||0|0|1|0|0|0|1|0|0|2020-11-08|2007-04-07|0|0|0|4964 days|4964.0|0|0|1|1|0|1|0|0|0|0|320000.0|1|0|320000.0|320000.0|12
2138|5078743.0|855984.0|202008|10/08/2020|09:46:44|305000|19|800732000000.0|115|Credipago with partial validation|7511.0|E|1|1|E|P|347454.6|P|EMPRESA                            |BANCA PERSONAL                     |02/11/2004||0|0|0|0|0|0|1|0|0|2020-10-08|2004-02-11|0|0|0|6084 days|6084.0|0|0|1|1|0|0|1|0|0|1|347454.6|1|0|347454.6|347454.6|3
2433|7379392.0|6441060.0|202006|17/06/2020|16:25:03|375000|758|902241000000.0|117|Credipago without validation|5122.0|E|1|1|P|P|244029.5|P|BANCA PERSONAL                     |BANCA PERSONAL                     |21/01/2009||0|0|1|1|0|1|0|0|0|2020-06-17|2009-01-21|0|0|0|4165 days|4165.0|0|0|1|1|0|1|0|0|0|0|244029.5|1|0|244029.5|244029.5|4
3220|5628186.0|1766817.0|202002|19/02/2020|12:38:28|435001|151|902213000000.0|62|DepÂ¢sito Cte|5143.0|E|1|1|P|P|350000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |19/07/2006||0|0|1|0|0|0|1|0|0|2020-02-19|2006-07-19|0|0|0|4963 days|4963.0|0|0|1|1|0|1|0|0|0|0|350000.0|1|0|350000.0|350000.0|12
1989|2096628.0|3049539.0|202005|25/05/2020|10:17:40|570000|156|902237000000.0|62|DepÂ¢sito Cte|5211.0|E|1|1|E|P|237179.0|P|EMPRESA                            |BANCA PERSONAL                     |01/02/1993||0|0|0|0|0|1|0|0|0|2020-05-25|1993-01-02|0|0|0|10005 days|10005.0|0|0|1|1|0|0|1|0|0|1|237179.0|1|0|237179.0|237179.0|0
1916|459483.0|3577336.0|202006|26/06/2020|14:41:21|191000|709|800709000000.0|117|Credipago without validation|6592.0|E|1|1|E|P|1050004.0|P|EMPRESA                            |BANCA PERSONAL                     |01/04/1997||0|0|0|0|0|0|0|0|1|2020-06-26|1997-01-04|0|0|0|8574 days|8574.0|0|0|1|1|0|0|1|0|1|1|1050004.0|1|0|651373.7949999986|651373.7949999986|11
1387|5097808.0|6326.0|202008|12/08/2020|15:31:50|305000|525|800733000000.0|117|Credipago without validation|5190.0|E|1|1|C|P|273510.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |14/07/2005||1|0|0|1|0|1|0|0|0|2020-12-08|2005-07-14|0|0|0|5626 days|5626.0|0|0|1|1|0|0|0|0|0|1|273510.0|1|0|273510.0|273510.0|7
1119|24471920.0|11093469.0|202008|24/08/2020|13:41:11|435002|168|800736000000.0|62|DepÂ¢sito Cte|5150.0|E|1|1|P|P|300000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-08-24||0|0|0|||0|0|1|1|0|1|0|0|0|1|300000.0|1|0|300000.0|300000.0|2
2748|93143.0|14938485.0|202006|17/06/2020|12:36:45|375000|421|902240000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|262137.4|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|1|0|0|0|2020-06-17|1998-07-04|0|0|0|8019 days|8019.0|0|0|1|1|0|0|1|0|0|1|262137.4|1|0|262137.4|262137.4|0
894|8637421.0|9276711.0|202002|29/02/2020|12:12:18|380000|690|800673000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|382345.1|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-02-29||0|0|0|||0|0|1|1|0|0|0|0|0|1|382345.1|1|0|382345.1|382345.1|10
2363|8851327.0|13133797.0|202002|24/02/2020|17:24:13|570000|1742|902216000000.0|62|DepÂ¢sito Cte|6719.0|E|1|1|C|P|1051027.4|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/2017||0|0|0|0|0|0|0|0|1|2020-02-24|2017-08-24|0|0|0|914 days|914.0|0|0|1|1|0|0|0|0|1|1|1051027.4|1|0|651373.7949999986|651373.7949999986|8
884|5287441.0|12374735.0|202008|28/08/2020|13:22:25|215000|492|800738000000.0|62|DepÂ¢sito Cte|5143.0|E|1|1|E|P|458640.0|P|EMPRESA                            |BANCA PERSONAL                     |05/08/2005||0|0|1|0|0|0|0|1|0|2020-08-28|2005-05-08|0|0|0|5591 days|5591.0|0|0|1|1|0|0|1|0|0|0|458640.0|1|0|458640.0|458640.0|6
951|14370.0|2734835.0|202007|14/07/2020|11:09:54|390000|176|800725000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|P|P|250432.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |23/12/1996||0|0|1|0|0|1|0|0|0|2020-07-14|1996-12-23|0|0|0|8604 days|8604.0|0|0|1|1|0|1|0|0|0|0|250432.0|1|0|250432.0|250432.0|4
508|9364942.0|7651475.0|202006|22/06/2020|16:52:15|570000|539|902241000000.0|62|DepÂ¢sito Cte|6023.0|E|1|1|P|P|294000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |05/05/2011||0|0|0|0|0|0|1|0|0|2020-06-22|2011-05-05|0|0|0|3336 days|3336.0|0|0|1|1|0|1|0|0|0|1|294000.0|1|0|294000.0|294000.0|2
841|366868.0|983757.0|202003|13/03/2020|17:55:40|215000|1571|800681000000.0|117|Credipago without validation|122.0|E|1|1|C|P|261140.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |23/10/1998||0|0|0|0|0|1|0|0|0|2020-03-13|1998-10-23|0|0|0|7812 days|7812.0|0|0|1|1|0|0|0|0|0|1|261140.0|1|0|261140.0|261140.0|5
613|12844012.0|17002744.0|202003|07/03/2020|11:53:41|194000|381|800678000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|C|P|372050.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |25/03/2014||0|0|0|0|0|0|1|0|0|2020-07-03|2014-03-25|0|0|0|2292 days|2292.0|0|0|1|1|0|0|0|0|0|1|372050.0|1|0|372050.0|372050.0|10
1196|14448074.0|24110389.0|202008|26/08/2020|10:55:36|550000|103|902255000000.0|62|DepÂ¢sito Cte|5050.0|E|1|1|P|P|215000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |15/01/2014||0|0|0|0|0|0|0|0|0|2020-08-26|2014-01-15|0|0|0|2415 days|2415.0|0|0|1|1|0|1|0|0|0|1|215000.0|1|0|215000.0|215000.0|9
2096|8199179.0|1571810.0|202005|12/05/2020|10:23:07|485000|262|800694000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|P|P|207070.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |16/10/2007||0|0|1|0|0|0|0|0|0|2020-12-05|2007-10-16|0|0|0|4799 days|4799.0|0|0|1|1|0|1|0|0|0|0|207070.0|1|0|207070.0|207070.0|4
2223|7071429.0|9848343.0|202002|24/02/2020|11:08:08|285000|308|902215000000.0|117|Credipago without validation|121.0|E|1|1|E|P|357427.2|P|EMPRESA                            |BANCA PERSONAL                     |09/07/2008||0|0|1|0|0|0|1|0|0|2020-02-24|2008-09-07|0|0|0|4187 days|4187.0|0|0|1|1|0|0|1|0|0|0|357427.2|1|0|357427.2|357427.2|17
151|40805.0|125329.0|202007|02/07/2020|16:01:08|570007|500|902243000000.0|115|Credipago with partial validation|1542.0|E|1|1|E|P|368000.0|P|EMPRESA                            |BANCA PERSONAL                     |19/05/1997||0|0|0|0|0|0|1|0|0|2020-02-07|1997-05-19|0|0|0|8299 days|8299.0|0|0|1|1|0|0|1|0|0|1|368000.0|1|0|368000.0|368000.0|3
3001|22030530.0|535142.0|202008|12/08/2020|15:32:55|191035|352|800733000000.0|62|DepÂ¢sito Cte|5190.0|E|1|1|P|P|233500.66|P|BANCA PERSONAL                     |BANCA PERSONAL                     |02/05/2018||0|0|1|0|0|0|0|0|0|2020-12-08|2018-02-05|0|0|0|1037 days|1037.0|0|0|1|1|0|1|0|0|0|0|233500.66|1|0|233500.66|233500.66|4
1356|22472625.0|259186.0|202002|26/02/2020|13:56:56|533000|171|800671000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|P|P|260476.12|P|BANCA PERSONAL                     |BANCA PERSONAL                     |10/05/2017||0|0|0|0|0|1|0|0|0|2020-02-26|2017-10-05|0|0|0|874 days|874.0|0|0|1|1|0|1|0|0|0|1|260476.12|1|0|260476.12|260476.12|9
1238|8637421.0|9720289.0|202002|27/02/2020|11:44:43|380000|413|800672000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|278784.3|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-02-27||0|0|0|||0|0|1|1|0|0|0|0|0|1|278784.3|1|0|278784.3|278784.3|5
3011|16999780.0|19385766.0|202001|18/01/2020|12:18:48|405000|376|800650000000.0|117|Credipago without validation|5122.0|E|1|1|P|P|213520.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |31/03/2015||0|0|1|0|0|0|0|0|0|2020-01-18|2015-03-31|0|0|0|1754 days|1754.0|0|0|1|1|0|1|0|0|0|0|213520.0|1|0|213520.0|213520.0|4
1325|4634542.0|8591139.0|202008|05/08/2020|14:29:35|194072|284|800731000000.0|62|DepÂ¢sito Cte|5190.0|E|1|1|P|P|230000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/07/2004||0|0|0|0|0|0|0|0|0|2020-05-08|2004-01-07|0|0|0|5966 days|5966.0|0|0|1|1|0|1|0|0|0|1|230000.0|1|0|230000.0|230000.0|9
2545|71834.0|3383881.0|202001|27/01/2020|10:38:42|475000|270|800654000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|323180.0|P|EMPRESA                            |BANCA PERSONAL                     |01/04/1976||0|0|0|0|0|0|1|0|0|2020-01-27|1976-01-04|0|0|0|16094 days|16094.0|0|0|1|1|0|0|1|0|0|1|323180.0|1|0|323180.0|323180.0|3
1702|13397029.0|1840300.0|202007|10/07/2020|12:34:41|395000|95|902245000000.0|62|DepÂ¢sito Cte|5121.0|E|1|1|P|P|350000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |03/09/2014||0|0|1|0|0|0|1|0|0|2020-10-07|2014-03-09|0|0|0|2404 days|2404.0|0|0|1|1|0|1|0|0|0|0|350000.0|1|0|350000.0|350000.0|12
652|9101410.0|9101410.0|202008|27/08/2020|10:42:58|305001|31|902255000000.0|60|DepÂ¢sito Aho|9309.0|P|1|1|P|P|251470.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-08-27||0|1|0|||0|0|1|1|0|1|0|0|0|1|251470.0|0|0|251470.0|251470.0|9
237|14419670.0|1283872.0|202003|16/03/2020|14:32:01|470000|541|902225000000.0|62|DepÂ¢sito Cte|5259.0|E|1|1|P|P|213135.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |07/09/2011||0|0|1|0|0|0|0|0|0|2020-03-16|2011-07-09|0|0|0|3173 days|3173.0|0|0|1|1|0|1|0|0|0|0|213135.0|1|0|213135.0|213135.0|4
2475|8851327.0|8548205.0|202008|04/08/2020|13:00:44|335000|416|800731000000.0|62|DepÂ¢sito Cte|6719.0|E|1|1|C|P|783103.8|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/2017||0|0|0|0|0|0|0|0|1|2020-04-08|2017-08-24|0|0|0|958 days|958.0|0|0|1|1|0|0|0|0|1|1|783103.8|1|0|651373.7949999986|651373.7949999986|8
2918|10189504.0|10735521.0|202003|11/03/2020|17:29:14|435000|473|800680000000.0|84|Emision de Cheques de Ger|99.0|P|1|1|P|P|207024.35|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-11-03||0|1|0|||0|0|1|1|0|1|0|0|0|1|207024.35|0|0|207024.35|207024.35|9
3026|16999780.0|19385766.0|202007|22/07/2020|13:53:32|405003|404|800728000000.0|117|Credipago without validation|5122.0|E|1|1|P|P|451520.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |31/03/2015||0|0|1|0|0|0|0|1|0|2020-07-22|2015-03-31|0|0|0|1940 days|1940.0|0|0|1|1|0|1|0|0|0|0|451520.0|1|0|451520.0|451520.0|1
2291|3063949.0|3063949.0|202006|30/06/2020|12:38:10|193000|377|800710000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|332500.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-06-30||0|1|0|||0|0|1|1|0|1|0|0|0|1|332500.0|0|0|332500.0|332500.0|2
2|31424.0|31424.0|202006|23/06/2020|12:34:28|435000|65|800708000000.0|60|DepÂ¢sito Aho|99.0|P|1|1|P|P|350000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-06-23||0|1|0|||0|0|1|1|0|1|0|0|0|1|350000.0|0|0|350000.0|350000.0|2
3329|98285.0|98285.0|202007|22/07/2020|14:59:15|193038|283|800728000000.0|128|Pago SUNAT formulario 1662|5143.0|P|1|1|P|P|315462.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-07-22||0|1|0|||0|0|1|1|0|1|0|0|0|1|315462.0|0|0|315462.0|315462.0|2
2604|71834.0|3383881.0|202007|15/07/2020|09:48:12|475000|80|800725000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|323580.0|P|EMPRESA                            |BANCA PERSONAL                     |01/04/1976||0|0|0|0|0|0|1|0|0|2020-07-15|1976-01-04|0|0|0|16264 days|16264.0|0|0|1|1|0|0|1|0|0|1|323580.0|1|0|323580.0|323580.0|3
2850|8637421.0|11059810.0|202003|20/03/2020|11:55:11|380000|227|800683000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|409042.8|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|0|1|0|2020-03-20||0|0|0|||0|0|1|1|0|0|0|0|0|1|409042.8|1|0|409042.8|409042.8|14
635|8637421.0|5385203.0|202001|07/01/2020|12:15:38|380000|370|800643000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|528123.3|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-07-01||0|0|0|||0|0|1|1|0|0|0|0|1|1|528123.3|1|0|528123.3|528123.3|8
2006|2096628.0|3049539.0|202007|27/07/2020|15:46:11|570000|524|902248000000.0|62|DepÂ¢sito Cte|5211.0|E|1|1|E|P|254200.0|P|EMPRESA                            |BANCA PERSONAL                     |01/02/1993||0|0|0|0|0|1|0|0|0|2020-07-27|1993-01-02|0|0|0|10068 days|10068.0|0|0|1|1|0|0|1|0|0|1|254200.0|1|0|254200.0|254200.0|0
2728|93143.0|14938485.0|202005|25/05/2020|12:25:55|375000|261|902237000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|202386.11|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|0|0|0|0|2020-05-25|1998-07-04|0|0|0|7996 days|7996.0|0|0|1|1|0|0|1|0|0|1|202386.11|1|0|202386.11|202386.11|0
2105|3435461.0|23612662.0|202008|18/08/2020|10:44:46|230000|73|800735000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|215765.5|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-08-18||0|1|0|||0|0|1|1|0|1|0|0|0|1|215765.5|0|0|215765.5|215765.5|9
46|10759655.0|86628.0|202005|25/05/2020|12:09:47|194047|176|800697000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|P|P|402670.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |12/08/2009||0|0|1|0|0|0|0|1|0|2020-05-25|2009-12-08|0|0|0|3821 days|3821.0|0|0|1|1|0|1|0|0|0|0|402670.0|1|0|402670.0|402670.0|1
1054|15970949.0|5564405.0|202008|28/08/2020|16:13:53|585000|230|800738000000.0|115|Credipago with partial validation|6603.0|E|1|1|E|P|217364.4|P|EMPRESA                            |BANCA PERSONAL                     |19/11/2015||0|0|0|1|0|0|0|0|0|2020-08-28|2015-11-19|0|0|0|1744 days|1744.0|0|0|1|1|0|0|1|0|0|1|217364.4|1|0|217364.4|217364.4|0
3432|2096628.0||202007|16/07/2020|15:09:53|305000|459|800726000000.0|62|DepÂ¢sito Cte|5211.0|E|1|0|E||253460.0||EMPRESA                            ||01/02/1993||0|0|0|0|0|1|0|0|0|2020-07-16|1993-01-02|0|0|0|10057 days|10057.0|0|0|0|0|0|0|1|0|0|1|253460.0|1|1|253460.0|253460.0|0
2110|318267.0|318267.0|202009|01/09/2020|15:23:14|215002|593|902256000000.0|60|DepÂ¢sito Aho|7414.0|P|1|1|P|P|531750.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-01-09||0|1|0|||0|0|1|1|0|1|0|0|1|1|531750.0|0|0|531750.0|531750.0|15
344|2640445.0|2640445.0|202001|15/01/2020|13:29:25|215000|799|800648000000.0|107|Pago de Credito ALS|9309.0|P|1|1|P|P|408221.49|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|1|0|2020-01-15||0|1|0|||0|0|1|1|0|1|0|0|0|1|408221.49|0|0|408221.49|408221.49|18
2111|1217112.0|1217112.0|202005|15/05/2020|10:52:43|215005|96|902236000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|206700.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-05-15||0|1|0|||0|0|1|1|0|1|0|0|0|1|206700.0|0|0|206700.0|206700.0|9
2759|93143.0|14938485.0|202006|23/06/2020|12:06:23|375000|334|902241000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|233670.3|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|0|0|0|0|2020-06-23|1998-07-04|0|0|0|8025 days|8025.0|0|0|1|1|0|0|1|0|0|1|233670.3|1|0|233670.3|233670.3|0
3422|407038.0|23298238.0|202006|26/06/2020|14:57:03|390001|279|902242000000.0|117|Credipago without validation|130.0|E|1|1|E|P|383641.5|E|EMPRESA                            |BANCA PERSONAL                     |18/04/2000|08/08/2016|0|0|0|0|0|0|1|0|0|2020-06-26|2000-04-18|0|0|0|7374 days|7374.0|0|0|1|1|0|0|1|0|0|1|383641.5|1|1|383641.5|383641.5|3
3071|8224533.0|7688482.0|202001|30/01/2020|12:46:24|220000|506|800656000000.0|62|DepÂ¢sito Cte|5234.0|E|1|1|P|P|220392.05|P|BANCA PERSONAL                     |BANCA PERSONAL                     |14/12/2009||0|0|0|0|0|0|0|0|0|2020-01-30|2009-12-14|0|0|0|3699 days|3699.0|0|0|1|1|0|1|0|0|0|1|220392.05|1|0|220392.05|220392.05|9
3359|7071429.0|877773.0|202003|02/03/2020|12:06:01|215000|703|800674000000.0|117|Credipago without validation|121.0|E|1|1|E|P|300000.0|P|EMPRESA                            |BANCA PERSONAL                     |09/07/2008||0|0|1|0|0|0|1|0|0|2020-02-03|2008-09-07|0|0|0|4166 days|4166.0|0|0|1|1|0|0|1|0|0|0|300000.0|1|0|300000.0|300000.0|17
1544|53903.0|817854.0|202008|14/08/2020|09:43:37|570000|48|902252000000.0|62|DepÂ¢sito Cte|9309.0|P|1|1|P|P|209707.7|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-08-14||0|1|0|||0|0|1|1|0|1|0|0|0|1|209707.7|0|0|209707.7|209707.7|9
2085|7584155.0|3998369.0|202004|29/04/2020|12:54:51|191029|379|902233000000.0|117|Credipago without validation|7499.0|E|1|1|P|P|229002.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |06/03/2009||0|0|0|0|1|0|0|0|0|2020-04-29|2009-06-03|0|0|0|3983 days|3983.0|0|0|1|1|0|1|0|0|0|1|229002.0|1|0|229002.0|229002.0|9
15|5986012.0|1935132.0|202008|31/08/2020|12:19:32|205000|158|902256000000.0|62|DepÂ¢sito Cte|6420.0|E|1|1|P|P|253000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/03/2007||0|0|1|0|0|1|0|0|0|2020-08-31|2007-01-03|0|0|0|4989 days|4989.0|0|0|1|1|0|1|0|0|0|0|253000.0|1|0|253000.0|253000.0|4
982|12844012.0|14492152.0|202003|07/03/2020|11:47:46|194000|367|800678000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|C|P|391280.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |25/03/2014||0|0|0|0|0|0|1|0|0|2020-07-03|2014-03-25|0|0|0|2292 days|2292.0|0|0|1|1|0|0|0|0|0|1|391280.0|1|0|391280.0|391280.0|10
1331|8637421.0|7340839.0|202007|23/07/2020|15:26:40|380000|531|800728000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|564272.8|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-07-23||0|0|0|||0|0|1|1|0|0|0|0|1|1|564272.8|1|0|564272.8|564272.8|8
2434|72314.0|797589.0|202001|31/01/2020|12:39:36|540004|179|902205000000.0|115|Credipago with partial validation|1549.0|E|1|1|C|P|600000.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |16/07/1956||0|0|0|0|0|0|0|0|1|2020-01-31|1956-07-16|0|0|0|23209 days|23209.0|0|0|1|1|0|0|0|0|1|1|600000.0|1|0|600000.0|600000.0|8
2174|93143.0|18344583.0|202001|13/01/2020|12:55:57|375000|392|902196000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|234020.4|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|0|0|0|0|2020-01-13|1998-07-04|0|0|0|7863 days|7863.0|0|0|1|1|0|0|1|0|0|1|234020.4|1|0|234020.4|234020.4|0
2944|9473732.0|13773668.0|202007|23/07/2020|11:19:06|405003|134|800728000000.0|117|Credipago without validation|5122.0|E|1|1|P|P|467500.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|1|0|2020-07-23||0|0|0|||0|0|1|1|0|1|0|0|0|1|467500.0|1|0|467500.0|467500.0|18
442|51470.0|7776541.0|202005|20/05/2020|10:34:51|194082|79|902237000000.0|62|DepÂ¢sito Cte|6420.0|E|1|1|C|P|406461.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |15/08/1988||0|0|0|0|0|0|0|1|0|2020-05-20|1988-08-15|0|0|0|11601 days|11601.0|0|0|1|1|0|0|0|0|0|1|406461.0|1|0|406461.0|406461.0|14
200|312041.0|312041.0|202006|12/06/2020|14:43:21|285000|487|800705000000.0|109|Pago Tarjeta Solicion Negocios|5252.0|P|1|1|P|P|237446.05|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-12-06||0|1|0|||0|0|1|1|0|1|0|0|0|1|237446.05|0|0|237446.05|237446.05|9
1431|5097808.0|6233098.0|202002|10/02/2020|09:57:35|305000|128|800662000000.0|117|Credipago without validation|5190.0|E|1|1|C|P|225380.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |14/07/2005||1|0|0|1|0|0|0|0|0|2020-10-02|2005-07-14|0|0|0|5559 days|5559.0|0|0|1|1|0|0|0|0|0|1|225380.0|1|0|225380.0|225380.0|7
1595|4613804.0|5571554.0|202008|07/08/2020|11:38:29|215000|255|800732000000.0|62|DepÂ¢sito Cte|5141.0|E|1|1|E|P|500000.0|P|EMPRESA                            |BANCA PERSONAL                     |27/05/2004||0|0|1|0|0|0|0|1|0|2020-07-08|2004-05-27|0|0|0|5886 days|5886.0|0|0|1|1|0|0|1|0|0|0|500000.0|1|0|500000.0|500000.0|6
1324|4891982.0|14154453.0|202006|11/06/2020|15:59:24|435000|293|800705000000.0|62|DepÂ¢sito Cte|7499.0|E|1|1|P|P|621127.82|P|BANCA PERSONAL                     |BANCA PERSONAL                     |15/10/2003||0|0|1|0|0|0|0|0|1|2020-11-06|2003-10-15|0|0|0|6232 days|6232.0|0|0|1|1|0|1|0|0|1|0|621127.82|1|0|621127.82|621127.82|15
594|8637421.0|1446434.0|202002|04/02/2020|16:20:49|380000|1072|800659000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|515771.3|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-04-02||0|0|0|||0|0|1|1|0|0|0|0|1|1|515771.3|1|0|515771.3|515771.3|8
